route,origin_airport,dest_airport,completed_flights,mean_delay_prob,observed_delay_rate,mean_p90_min,mean_cancel_prob
SGF-ORD,SGF,ORD,272,0.2862958807279082,0.2757352941176471,65.21516752243042,0.010830136064017556
DCA-RDU,DCA,RDU,297,0.2861283353783868,0.4175084175084175,62.50791725646767,0.016211675805119206
MCO-SJU,MCO,SJU,1230,0.28603335588685863,0.26910569105691057,55.83470446501321,0.008956941038338814
ORD-OMA,ORD,OMA,565,0.2857547683262192,0.30973451327433627,72.32586440027288,0.008065110714757675
LGA-ORD,LGA,ORD,1793,0.2857420721734893,0.3234802007808143,66.6297549903559,0.014950257989769901
MSY-FLL,MSY,FLL,187,0.2855121028375498,0.39037433155080214,48.76106142360259,0.009240448771985635
BOS-FLL,BOS,FLL,349,0.28537916560740045,0.2636103151862464,63.13342213562361,0.011785035602414333
MCO-BNA,MCO,BNA,596,0.28530061207461677,0.35906040268456374,53.790009458593076,0.007789281021785022
DAL-LGA,DAL,LGA,251,0.2851211693716714,0.5537848605577689,53.22707796096802,0.012936331973677235
RSW-LGA,RSW,LGA,102,0.28507325286958735,0.3333333333333333,63.88988109663421,0.016234544410624288
PVD-DCA,PVD,DCA,374,0.28503731976855884,0.33689839572192515,53.32251146897913,0.01657470663373645
ORD-MSN,ORD,MSN,635,0.2847706292088576,0.2251968503937008,75.56057338564415,0.012777305708223248
ORD-CAE,ORD,CAE,115,0.28473929698052614,0.23478260869565218,70.22131334387738,0.0076715572943269715
ORD-BTV,ORD,BTV,230,0.28467867847370065,0.3739130434782609,67.89054413671079,0.005776594552008335
CLE-DCA,CLE,DCA,232,0.2846318370951661,0.33620689655172414,78.15714523710054,0.02520045038783528
ORD-BNA,ORD,BNA,809,0.284501562721576,0.3003708281829419,68.84764546841126,0.009475268442751206
DFW-GSO,DFW,GSO,174,0.284177797707333,0.40229885057471265,74.97185959213081,0.01421200949960294
DEN-BOS,DEN,BOS,751,0.2841330519846371,0.36750998668442075,60.53261472445512,0.007475015360789446
BOS-MCO,BOS,MCO,607,0.28407575365591675,0.28665568369028005,68.5850477454297,0.010182249055427958
ORD-TVC,ORD,TVC,608,0.28399200095353944,0.31085526315789475,82.46126086460917,0.01262344655963455
OGG-LIH,OGG,LIH,244,0.28393891643061014,0.1762295081967213,42.73809833213931,0.003461301331045717
DCA-MSN,DCA,MSN,194,0.2839132348440357,0.35051546391752575,71.9391519408865,0.015043022555358913
BDL-DCA,BDL,DCA,266,0.28368342953517023,0.3233082706766917,63.62272188717261,0.0194211414594068
