flight_id,date_key,carrier_code,origin_airport,route,delay_prob,delay_pred,delay_p50,delay_p90,cancel_prob,arr_del15,cancelled
12356509293732109957,20260601,B6,BOS,BOS-PBI,0.34565148,1,-0.6142706,92.53325,0.01421496,1,0
11591302395268723203,20260601,AA,ORD,ORD-LGA,0.16029368,0,-5.464061,35.987957,0.01750509,0,0
2440327369484674341,20260601,DL,PHL,PHL-ATL,0.07552722,0,-12.444236,17.77791,0.0132487975,0,0
9141854665108899763,20260601,WN,BWI,BWI-RDU,0.08301887,0,-8.6631565,11.471804,0.009522382,1,0
5244867150902352002,20260601,UA,FAT,FAT-DEN,0.05648267,0,-10.338954,15.858332,0.005900353,0,0
16605268906597558800,20260601,OH,CLT,CLT-CMH,0.2226762,1,-5.939889,46.704475,0.014912596,1,0
4800136283948325870,20260601,WN,HOU,HOU-CRP,0.24328545,1,-0.97733057,40.05181,0.00656858,0,0
867690116890445372,20260601,OO,DEN,DEN-LBL,0.10879669,0,-8.66068,25.932085,0.009673282,0,0
9593071575469253954,20260601,AA,TPA,TPA-CLT,0.11854199,0,-10.072631,25.936441,0.008536769,0,0
12361715915628992885,20260601,WN,PHX,PHX-DAL,0.3832008,1,6.1301,63.090145,0.00839523,1,0
12775302107528795346,20260601,OH,LEX,LEX-CLT,0.18319455,0,-8.035449,50.25297,0.01436272,0,0
2570976429369093204,20260601,WN,DEN,DEN-BUR,0.331201,1,4.8113914,47.841362,0.0071036173,1,0
7330431765577274682,20260601,AA,MIA,MIA-PHX,0.331201,1,2.6476917,54.917973,0.0083829975,0,0
17007911100912422732,20260601,WN,BWI,BWI-ABQ,0.2730834,1,-3.617732,37.882706,0.0066093924,0,0
8214292552738986076,20260601,WN,HOU,HOU-BNA,0.31195533,1,5.6267233,39.197124,0.0073118904,0,0
12084842087963998373,20260601,AA,PHX,PHX-SFO,0.3118644,1,0.6033587,61.41707,0.007568546,1,0
4005150149361735965,20260601,WN,MSP,MSP-BNA,0.31195533,1,0.96473664,53.110104,0.0073512336,1,0
3120375907490486066,20260601,AA,DCA,DCA-RSW,0.29376957,1,-3.95039,58.79565,0.012444407,0,0
8900916645002358881,20260601,AS,JFK,JFK-SAN,0.22709952,1,-8.839406,44.545403,0.0121304225,0,0
7571269354674067566,20260601,WN,MKE,MKE-BNA,0.07552722,0,-10.084107,8.444915,0.008398974,0,0
10839015643766941490,20260601,MQ,ATW,ATW-ORD,0.19670747,0,-4.969458,74.77819,0.022729836,0,0
